,0,1,2
15192,caffeine,x-linked dominant hypophosphatemic rickets,nuclear factor kappa b subunit 1
15193,vonoprazan,common wart,coagulation factor ii thrombin receptor
15194,perampanel,biotinidase deficiency,solute carrier family 22 member 2
15195,chlorpheniramine,mast cell leukemia,cholinergic receptor nicotinic beta 4 subunit
15196,prednisone,dyspepsia,cytochrome p450 family 3 subfamily a member 4
15197,flurbiprofen,laryngeal edema,potassium voltage-gated channel subfamily a member 3
15198,mirodenafil,stroke disorder,interleukin 1 receptor associated kinase 3
15199,nimodipine,graves disease,estrogen receptor 1
15200,goserelin,myxedema,dna methyltransferase 1
15201,pirenzepine,thrombotic disease,diacylglycerol o-acyltransferase 1
15202,5-fluorouracil,"hyperlipidemia, familial combined, lpl related",potassium voltage-gated channel subfamily h member 7
15203,difenoxin,dysmenorrhea,solute carrier family 18 member a1
15204,apalutamide,attrv122i amyloidosis,amylase alpha 1c
15205,labetalol,atrioventricular block,glutamate ionotropic receptor kainate type subunit 3
15206,nadolol,premenstrual dysphoric disorder,solute carrier family 18 member a2
15207,auranofin,psychotic disorder,prostaglandin-endoperoxide synthase 1
15208,acarbose,breast fibrocystic disease,sodium voltage-gated channel alpha subunit 2
15209,edoxaban,non-small cell lung carcinoma,phosphodiesterase 6g
15210,penicillamine,autoimmune hemolytic anemia,proteasome 20s subunit beta 8
15211,mesuximide,manic bipolar affective disorder,dopamine beta-hydroxylase
15212,icosapent,schizoaffective disorder,glutathione s-transferase theta 1
15213,lusutrombopag,exfoliative dermatitis,sodium voltage-gated channel alpha subunit 2
15214,cortisone,endometritis,phosphodiesterase 6d
15215,alpha-methyltyrosine,nephrotic syndrome,protein tyrosine kinase 2 beta
15216,gefitinib,raynaud disease,mitogen-activated protein kinase 14
15217,eliglustat,pituitary dwarfism,sphingosine-1-phosphate receptor 1
15218,indomethacin,renal osteodystrophy,unc-51 like autophagy activating kinase 1
15219,idelalisib,depressive disorder,carbonic anhydrase 14
15220,pirfenidone,panic disorder,sodium voltage-gated channel alpha subunit 9
15221,gliquidone,delayed puberty,7-dehydrocholesterol reductase
15222,rasagiline,ovarian epithelial tumor,gamma-aminobutyric acid type a receptor subunit alpha6
15223,zuclopenthixol,diabetes mellitus,unc-51 like kinase 3
15224,fluvoxamine,acute lung injury,guanylate cyclase 1 soluble subunit beta 1
15225,histamine,enterobiasis,somatostatin receptor 3
15226,camphor,esophageal cancer,phosphodiesterase 8b
15227,clorazepate,acute monocytic leukemia,atpase h+/k+ transporting subunit beta
15228,fluoxetine,diabetic kidney disease,mitogen-activated protein kinase kinase kinase 20
15229,dezocine,fever,glucosidase ii alpha subunit
15230,carbamazepine,type 2 diabetes mellitus,fms related receptor tyrosine kinase 3
15231,dicumarol,exfoliative dermatitis,cytochrome p450 family 3 subfamily a member 4
15232,ketanserin,social phobia,polo like kinase 4
15233,heparin,duodenal ulcer,lipoprotein lipase
15234,ketoprofen,atrioventricular block,propionyl-coa carboxylase subunit beta
15235,ethacrynic acid,autosomal dominant polycystic kidney disease,axl receptor tyrosine kinase
15236,vandetanib,sarcoma,gamma-aminobutyric acid type a receptor subunit gamma2
15237,moclobemide,dementia,eukaryotic translation initiation factor 4e
15238,risperidone,post-partum hemorrhage,cytochrome p450 family 2 subfamily c member 18
15239,l-citrulline,lung neoplasm,5-hydroxytryptamine receptor 2c
15240,nelfinavir,myasthenia gravis,carnitine palmitoyltransferase 1a
15241,nefazodone,premature ventricular contraction,galactosidase alpha
15242,montelukast,corneal ulcer,c-c motif chemokine receptor 1
15243,lobeglitazone,myeloid neoplasm associated with pdgfra rearrangement,eph receptor b6
15244,physostigmine,contact dermatitis,histamine receptor h3
15245,fenfluramine,rhinoscleroma,peroxisome proliferator activated receptor delta
15246,anisotropine methylbromide,pthirus pubis infestation,5-hydroxytryptamine receptor 3e
15247,fenfluramine,hypercholesterolemia,iodothyronine deiodinase 1
15248,clofarabine,hiv infectious disease,gamma-aminobutyric acid type a receptor subunit theta
15249,topiroxostat,malignant colon neoplasm,uridine monophosphate synthetase
15250,nicardipine,interstitial lung disease 2,monoamine oxidase a
15251,medroxyprogesterone,zollinger-ellison syndrome,glutamate ionotropic receptor ampa type subunit 3
15252,reserpine,familial mediterranean fever,geranylgeranyl diphosphate synthase 1
15253,tolazoline,mast cell leukemia,calcium voltage-gated channel auxiliary subunit alpha2delta 1
15254,rabeprazole,waldenstrom macroglobulinemia,potassium voltage-gated channel subfamily a member 1
15255,voclosporin,homocystinuria,cytochrome p450 family 3 subfamily a member 43
15256,roxatidine acetate,hyperinsulinism,tek receptor tyrosine kinase
15257,ketorolac,rheumatic heart disease,peptidylprolyl isomerase d
15258,thyrotropin alfa,malignant colon neoplasm,5-hydroxytryptamine receptor 4
15259,levodopa,pancreatic insulinoma,atpase h+/k+ transporting subunit beta
15260,pranlukast,mast cell leukemia,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
15261,axitinib,short bowel syndrome,natriuretic peptide b
15262,indapamide,hypoglycemia,"plasminogen activator, tissue type"
15263,apraclonidine,pediculus humanus capitis infestation,melatonin receptor 1a
15264,quinapril,inflammatory bowel disease,colony stimulating factor 1 receptor
15265,phenacemide,nutritional biotin deficiency,calmodulin 1
15266,spiperone,atrial fibrillation,solute carrier family 5 member 6
15267,isoprenaline,headache,dipeptidyl peptidase 8
15268,nevirapine,menorrhagia,4-aminobutyrate aminotransferase
15269,ethotoin,seasonal affective disorder,thyroid hormone receptor alpha
15270,venetoclax,sebaceous adenoma,gamma-aminobutyric acid type a receptor subunit beta3
15271,zoledronic acid,thyroiditis,gamma-aminobutyric acid type a receptor subunit alpha3
15272,cisapride,eunuchism,thymidylate synthetase
15273,venlafaxine,cluster headache syndrome,phosphoribosyl pyrophosphate amidotransferase
15274,dipyridamole,atrophic vulva,serpin family e member 1
15275,pirenzepine,tetanus,cubilin
15276,darunavir,osteoarthritis,somatostatin receptor 2
15277,glycopyrrolate,acute gonococcal endometritis,retinoic acid receptor beta
15278,docetaxel,gastric ulcer,dopa decarboxylase
15279,caffeine,alcohol dependence,fibroblast growth factor receptor 2
15280,albiglutide,postmenopausal osteoporosis,potassium voltage-gated channel subfamily h member 4
15281,atropine,respiratory failure,"hck proto-oncogene, src family tyrosine kinase"
15282,pyrimethamine,pthirus pubis infestation,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
15283,naproxen,urinary bladder neoplasm,histone deacetylase 6
15284,captopril,psychologic dyspareunia,phospholipase a2 group ib
15285,prilocaine,chronic eosinophilic leukemia,gamma-aminobutyric acid type a receptor subunit alpha3
15286,trimipramine,pulmonary hypertension,"elastase, neutrophil expressed"
15287,diclofenac,pulmonary eosinophilia,cyclin dependent kinase 19
15288,digoxin,contact dermatitis,catechol-o-methyltransferase
15289,eldecalcitol,common wart,5-hydroxytryptamine receptor 3d
15290,amiodarone,meningococcal meningitis,udp-glucose ceramide glucosyltransferase
15291,mebendazole,onchocerciasis,monoamine oxidase b
15292,cabergoline,orthostatic hypotension,gamma-aminobutyric acid type a receptor subunit alpha4
15293,maprotiline,prinzmetal angina,"abl proto-oncogene 1, non-receptor tyrosine kinase"
15294,nitric oxide,peripheral vascular disease,gamma-aminobutyric acid type a receptor subunit gamma2
15295,ceritinib,amyloidosis,gamma-aminobutyric acid type a receptor subunit theta
15296,nitisinone,medullary thyroid gland carcinoma,epidermal growth factor receptor
15297,mesalazine,vitiligo,solute carrier family 19 member 1
15298,phenylephrine,crohn disease,ryanodine receptor 1
15299,lamotrigine,b-cell chronic lymphocytic leukemia,androgen receptor
15300,butenafine,cerebrovascular disorder,carbonic anhydrase 13
15301,linaclotide,hodgkins lymphoma,cathepsin g
15302,beclometasone,nocturnal enuresis,solute carrier family 18 member a1
15303,voglibose,myasthenia gravis,glutathione s-transferase pi 1
15304,axitinib,myocardial infarction,interleukin 1 receptor associated kinase 3
15305,pranlukast,sitosterolemia,ap2 associated kinase 1
15306,fomepizole,"attention deficit hyperactivity disorder, inattentive type",nuclear receptor subfamily 3 group c member 1
15307,liraglutide,peripheral vascular disease,interleukin 6 receptor
15308,pemetrexed,type 1 diabetes mellitus,carbonic anhydrase 3
15309,sapropterin,gaucher disease,atp binding cassette subfamily g member 5
15310,ibuprofen,chronic schizophrenia,carnitine palmitoyltransferase 1a
15311,procyclidine,hypertrophic cardiomyopathy,unc-51 like autophagy activating kinase 1
15312,cortisol,asthma-chronic obstructive pulmonary disease overlap syndrome,delta like non-canonical notch ligand 1
15313,nitrazepam,uterine corpus leiomyoma,protein kinase c alpha
15314,acth,heart failure,aldehyde dehydrogenase 5 family member a1
15315,isoxsuprine,anterior uveitis,adrenoceptor alpha 1d
15316,clozapine,hereditary von willebrand disease,solute carrier family 22 member 1
15317,valproic acid,dacryocystitis,carbonic anhydrase 14
15318,flunisolide,peripheral vascular disease,solute carrier family 19 member 1
15319,maprotiline,ankylosing spondylitis,angiotensin ii receptor type 2
15320,cisapride,amyotrophic lateral sclerosis,phosphodiesterase 6h
15321,clocortolone pivalate,sickle cell anemia,cytochrome p450 family 3 subfamily a member 5
15322,5-fluorouracil,bone osteosarcoma,glutamate ionotropic receptor nmda type subunit 2b
15323,methylphenidate,superficial multifocal basal cell carcinoma,h1.0 linker histone
15324,tocilizumab,early myoclonic encephalopathy,toll like receptor 2
15325,flutamide,diarrheal disease,cytochrome p450 family 17 subfamily a member 1
15326,lorlatinib,intracranial embolism,5-hydroxytryptamine receptor 1b
15327,levodopa,duodenal ulcer,homeodomain interacting protein kinase 2
15328,sildenafil,hypersensitivity pneumonitis,cyp3a7-cyp3a51p readthrough
15329,epinastine,meningococcal meningitis,cyclin dependent kinase 14
15330,tirofiban,peptic ulcer disease,dna topoisomerase ii beta
15331,bosentan,iritis,potassium voltage-gated channel subfamily h member 3
15332,icotinib,psychotic disorder,acetyl-coa acyltransferase 2
15333,propranolol,gastric ulcer,insulin receptor
15334,chlorhexidine,anogenital human papillomavirus infection,bmp2 inducible kinase
15335,flunisolide,chronic bronchitis,steroid 5 alpha-reductase 1
15336,podophyllotoxin,gastroesophageal reflux disease,vitamin d receptor
15337,cisapride,vomiting,solute carrier family 22 member 11
15338,pirenzepine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 5
15339,sertraline,goiter,protein tyrosine kinase 2
15340,theophylline,liposarcoma,phosphodiesterase 8b
15341,etoposide,aspiration pneumonitis,microtubule associated protein 2
15342,nizatidine,hepatic veno-occlusive disease,potassium voltage-gated channel modifier subfamily g member 4
15343,mesoridazine,hyperlipoproteinemia type 3,ttk protein kinase
15344,dronedarone,gout,5-hydroxytryptamine receptor 2b
15345,sermorelin,motion sickness,cholinergic receptor nicotinic alpha 4 subunit
15346,phentermine,pulmonary valve atresia,gamma-aminobutyric acid type b receptor subunit 2
15347,ziprasidone,edema,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
15348,menatetrenone,iritis,phosphoribosyl pyrophosphate amidotransferase
15349,riboflavin,hyperglycemia,prostaglandin d2 receptor 2
15350,atorvastatin,chronic bronchitis,potassium inwardly rectifying channel subfamily j member 12
15351,tetracycline,alopecia,15-hydroxyprostaglandin dehydrogenase
15352,umeclidinium,abdominal abscess,"elastase, neutrophil expressed"
15353,dosulepin,ovarian epithelial tumor,matrix metallopeptidase 9
15354,benoxaprofen,oligospermia,aldo-keto reductase family 1 member c1
15355,clonidine,eye disorder,potassium voltage-gated channel subfamily d member 1
15356,voclosporin,oral candidiasis,kallikrein b1
15357,atenolol,post-traumatic stress disorder,eph receptor a5
15358,octreotide,leiomyosarcoma,5-hydroxytryptamine receptor 7
15359,propranolol,classic phenylketonuria,acyl-coa synthetase long chain family member 5
15360,dorzolamide,hypoactive sexual desire disorder,calcyon neuron specific vesicular protein
15361,imatinib,gastric ulcer,squalene epoxidase
15362,bosutinib,alopecia,potassium voltage-gated channel subfamily a member 4
15363,teriparatide,eosinophilic esophagitis,monoamine oxidase a
15364,aceclofenac,breast carcinoma,bmp2 inducible kinase
15365,physostigmine,pulmonary hypertension,dead-box helicase 1
15366,tazarotene,urticaria,phosphodiesterase 4a
15367,diazepam,aggressive systemic mastocytosis,dual specificity tyrosine phosphorylation regulated kinase 1b
15368,perampanel,schizoaffective disorder,peptidylprolyl isomerase d
15369,anisotropine methylbromide,diffuse alopecia areata,serine/threonine kinase 4
15370,clonidine,persistent fetal circulation syndrome,angiotensin converting enzyme 2
15371,oxymetholone,allergic urticaria,histone deacetylase 11
15372,sertaconazole,polycystic ovary syndrome,mitogen-activated protein kinase 14
15373,celecoxib,xerophthalmia,5-hydroxytryptamine receptor 2c
15374,tipranavir,attrv122i amyloidosis,adrenoceptor alpha 2b
15375,pexidartinib,scalp dermatosis,eph receptor b6
15376,cladribine,hyponatremia,srsf protein kinase 3
15377,acth,idiopathic acute eosinophilic pneumonia,prostaglandin e synthase 3
15378,vildagliptin,eunuchism,uridine monophosphate synthetase
15379,cyclopentolate,pulmonary arterial hypertension,protein tyrosine kinase 2
15380,ropinirole,anxiety disorder,24-dehydrocholesterol reductase
15381,tenofovir alafenamide,proctitis,peptidylprolyl isomerase d
15382,melatonin,severe major depression with psychotic features,retinoid x receptor alpha
15383,repaglinide,arteriosclerosis disorder,cytochrome p450 family 46 subfamily a member 1
15384,dihydrotachysterol,breast fibrocystic disease,guanylate cyclase 1 soluble subunit alpha 1
15385,milnacipran,pulmonary tuberculosis,h1.0 linker histone
15386,salmeterol,trichuriasis,mitogen-activated protein kinase kinase kinase 20
15387,carbinoxamine,oppositional defiant disorder,histamine receptor h3
15388,phytomenadione,torsades de pointes,opioid related nociceptin receptor 1
15389,calcipotriol,nasal congestion,gamma-aminobutyric acid type a receptor subunit delta
15390,furosemide,pheochromocytoma,cholinergic receptor muscarinic 2
15391,fenoprofen,nasal congestion,mitogen-activated protein kinase kinase 2
15392,promethazine,dermatophytosis of groin and perianal area,fatty acid binding protein 2
15393,rufinamide,skin basal cell carcinoma,prostaglandin f receptor
15394,oxybutynin,plasmodium ovale malaria,nuclear factor kappa b subunit 1
15395,etodolac,breast carcinoma,leukotriene b4 receptor
15396,mirtazapine,dacryocystitis,dna polymerase beta
15397,epa,respiratory sounds,glutathione-disulfide reductase
15398,icosapent,toothache,solute carrier family 12 member 3
15399,tafamidis,early myoclonic encephalopathy,proteasome 20s subunit beta 5
15400,thyrotropin alfa,myocardial infarction,adrenoceptor alpha 1d
15401,letrozole,"dermatitis, atopic",tumor protein p53
15402,minocycline,torsades de pointes,glutamate ionotropic receptor ampa type subunit 4
15403,neostigmine,duodenal ulcer,toll like receptor 9
15404,stanozolol,west syndrome,sphingosine-1-phosphate receptor 4
15405,butalbital,gastroesophageal reflux disease,tachykinin receptor 1
15406,saxagliptin,peripheral vascular disease,purinergic receptor p2y12
15407,axitinib,postherpetic neuralgia,thymidylate synthetase
15408,teriparatide,stargardt disease,"blk proto-oncogene, src family tyrosine kinase"
15409,lurasidone,tenosynovial giant cell tumor,adrenoceptor alpha 1b
15410,bepridil,acne,phosphodiesterase 1c
15411,desipramine,early myoclonic encephalopathy,opioid receptor mu 1
15412,piroxicam,multiple endocrine neoplasia,cytochrome p450 family 27 subfamily b member 1
15413,ketorolac,meniere disease,bradykinin receptor b2
15414,pinacidil,oral mucosa leukoplakia,transient receptor potential cation channel subfamily m member 8
15415,magnesium salicylate,testicular cancer,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
15416,olanzapine,peptic ulcer disease,tek receptor tyrosine kinase
15417,clozapine,neonatal diabetes mellitus,phosphodiesterase 2a
15418,pramipexole,chronic beryllium disease,integrin subunit alpha 2b
15419,conjugated estrogens,pulmonary eosinophilia,potassium voltage-gated channel subfamily b member 1
15420,captodiame,eunuchism,transforming growth factor beta receptor 2
15421,pheniramine,streptococcal meningitis,15-hydroxyprostaglandin dehydrogenase
15422,riociguat,skin disorder,bcl2 apoptosis regulator
15423,caffeine,lung disorder,apolipoprotein b
15424,dabrafenib,plasmodium falciparum malaria,solute carrier family 18 member a2
15425,dosulepin,gestational trophoblastic neoplasm,thyroid hormone receptor beta
15426,loxapine,bursitis,potassium voltage-gated channel subfamily a member 6
15427,valsartan,eye disorder,tachykinin precursor 1
15428,acth,alopecia,5-hydroxytryptamine receptor 3c
15429,dipyridamole,gaucher disease,butyrylcholinesterase
15430,chloroquine,bacterial meningitis,thyroid stimulating hormone receptor
15431,apraclonidine,pulmonary emphysema,dna polymerase beta
15432,valrubicin,postoperative nausea and vomiting,bruton tyrosine kinase
15433,udenafil,pituitary dwarfism,glutathione s-transferase theta 1
15434,acalabrutinib,"leukemia, myeloid, chronic-phase",renin
15435,erlotinib,ornithine carbamoyltransferase deficiency,homeodomain interacting protein kinase 2
15436,clocortolone pivalate,premature obstetric labor,fms related receptor tyrosine kinase 4
15437,nadolol,scabies,phosphodiesterase 6h
15438,nicorandil,anogenital human papillomavirus infection,potassium inwardly rectifying channel subfamily j member 1
15439,lasofoxifene,neonatal diabetes mellitus,gamma-aminobutyric acid type a receptor subunit beta3
15440,alclofenac,rhinoscleroma,"dna polymerase epsilon, catalytic subunit"
15441,tadalafil,pancreatic adenocarcinoma,sphingosine-1-phosphate receptor 3
15442,pravastatin,cardiac arrest,neutrophil cytosolic factor 1
15443,glutethimide,neonatal diabetes mellitus,"protein phosphatase 3 regulatory subunit b, alpha"
15444,valdecoxib,short bowel syndrome,protein kinase cgmp-dependent 1
15445,afamelanotide,angioedema,histone deacetylase 4
15446,isopropamide,trichinellosis,"dna polymerase alpha 1, catalytic subunit"
15447,phenytoin,bulimia nervosa,toll like receptor 7
15448,iloperidone,myalgia,histone deacetylase 3
15449,dabrafenib,rhabdomyosarcoma,platelet activating factor receptor
15450,alfacalcidol,major depressive disorder,gamma-aminobutyric acid type a receptor subunit gamma1
15451,mebendazole,pulmonary embolism,solute carrier family 5 member 4
15452,clopidogrel,poems syndrome,potassium calcium-activated channel subfamily n member 4
15453,benazepril,contact dermatitis,5-hydroxytryptamine receptor 1f
15454,midazolam,allergic contact dermatitis,tyrosine hydroxylase
15455,indomethacin,visual epilepsy,electron transfer flavoprotein dehydrogenase
15456,fluocinolone acetonide,thyroid tumor,"src proto-oncogene, non-receptor tyrosine kinase"
15457,octreotide,arthralgia,septin 9
15458,delavirdine,"cicatrix, hypertrophic",phosphodiesterase 6b
15459,ceftriaxone,klinefelter syndrome,membrane spanning 4-domains a1
15460,sulfasalazine,angle-closure glaucoma,catechol-o-methyltransferase
15461,diphenhydramine,migraine disorder,"pim-2 proto-oncogene, serine/threonine kinase"
15462,goserelin,discoid lupus erythematosus,bcl2 like 2
15463,vinorelbine,bipolar depression,transient receptor potential cation channel subfamily v member 1
15464,ciprofloxacin,seborrheic dermatitis,myosin light chain kinase 3
15465,dasatinib,parkinsonian disorder,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/imp cyclohydrolase
15466,pyrimethamine,epicondylitis,sodium voltage-gated channel alpha subunit 2
15467,prucalopride,anxiety,histone deacetylase 10
15468,dorzolamide,headache,cholinergic receptor nicotinic alpha 6 subunit
15469,ergometrine,sjogren syndrome,tyrosine kinase non receptor 2
15470,crisaborole,psychosexual disorder,ribosomal protein s6 kinase a5
15471,rofecoxib,chronic schizophrenia,retinoic acid receptor beta
15472,benzphetamine,delayed puberty,cd33 molecule
15473,bumetanide,ventricular fibrillation,sodium channel epithelial 1 subunit gamma
15474,acth,small cell lung carcinoma,macrophage stimulating 1 receptor
15475,felbamate,premenstrual dysphoric disorder,sonic hedgehog signaling molecule
15476,acitretin,tetany,ribonucleotide reductase catalytic subunit m1
15477,tirofiban,onchocerciasis,"raf-1 proto-oncogene, serine/threonine kinase"
15478,nicorandil,chronic beryllium disease,nuclear receptor subfamily 0 group b member 1
15479,glipizide,amenorrhea,mitogen-activated protein kinase kinase kinase 9
15480,dicyclomine,urticaria,low density lipoprotein receptor
15481,pentoxifylline,autosomal dominant polycystic kidney disease,"jun proto-oncogene, ap-1 transcription factor subunit"
15482,apalutamide,hypoactive sexual desire disorder,atp binding cassette subfamily c member 9
15483,terfenadine,neurogenic bladder,propionyl-coa carboxylase subunit alpha
15484,isopropamide,strongyloidiasis,il2 inducible t cell kinase
15485,travoprost,dacryocystitis,dihydropyrimidine dehydrogenase
15486,bosutinib,dysmenorrhea,5-methyltetrahydrofolate-homocysteine methyltransferase reductase
15487,azelnidipine,essential thrombocythemia,phosphatidylinositol-5-phosphate 4-kinase type 2 beta
15488,oprelvekin,psychotic disorder,cyclin dependent kinase 16
15489,olmutinib,oral mucosa leukoplakia,nuclear receptor subfamily 3 group c member 2
15490,mefenamic acid,scabies,dopamine receptor d1
15491,apraclonidine,esotropia,somatostatin receptor 1
15492,methylphenobarbital,chronic schizophrenia,interleukin 1 receptor type 1
15493,meloxicam,hereditary angioedema,adenosine deaminase
15494,cladribine,"leukemia, myeloid, chronic-phase",cannabinoid receptor 2
15495,bunazosin,pemphigus,sodium voltage-gated channel alpha subunit 4
15496,acamprosate,atrioventricular block,histamine receptor h1
15497,levocabastine,acute intermittent porphyria,solute carrier organic anion transporter family member 4a1
15498,metipranolol,acute coronary syndrome,ndufa4 mitochondrial complex associated
15499,dosulepin,dacryocystitis,sulfotransferase family 2a member 1
15500,efavirenz,schizoaffective disorder,dihydropyrimidine dehydrogenase
15501,ripasudil,exanthem,cytochrome p450 family 19 subfamily a member 1
15502,opipramol,scabies,mitogen-activated protein kinase kinase kinase kinase 1
15503,isoxsuprine,cardiogenic shock,cytochrome p450 family 2 subfamily a member 6
15504,cefmetazole,urge incontinence,homeodomain interacting protein kinase 2
15505,nevirapine,tourette syndrome,potassium voltage-gated channel modifier subfamily s member 1
15506,suramin,bacterial endocarditis,steroid 5 alpha-reductase 1
15507,calcipotriol,constipation disorder,prostaglandin d2 receptor 2
15508,tadalafil,b-cell chronic lymphocytic leukemia,solute carrier family 22 member 12
15509,mesalazine,hypercholesterolemia,cd33 molecule
15510,naratriptan,polymyalgia rheumatica,solute carrier family 12 member 3
15511,sivelestat,non-small cell lung carcinoma,potassium voltage-gated channel modifier subfamily g member 3
15512,tripelennamine,hyperuricemia,cytochrome p450 family 24 subfamily a member 1
15513,furosemide,primary myelofibrosis,amylase alpha 1a
15514,alpha-methyltyrosine,marginal zone lymphoma,unc-51 like kinase 3
15515,quizartinib,allergic contact dermatitis,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
15516,choline magnesium trisalicylate,oral mucosa leukoplakia,prostaglandin e synthase 3
15517,fluoxetine,heart failure,melatonin receptor 1a
15518,pralidoxime,scalp dermatosis,calcium voltage-gated channel auxiliary subunit alpha2delta 1
15519,moxonidine,superficial multifocal basal cell carcinoma,somatostatin receptor 2
15520,thiothixene,drooling,insulin receptor related receptor
15521,dabrafenib,tenosynovitis,phosphorylase kinase catalytic subunit gamma 1
15522,heparin,alopecia,phosphorylase kinase catalytic subunit gamma 2
15523,glimepiride,vasomotor rhinitis,angiotensin i converting enzyme
15524,azelaic acid,dermatofibrosarcoma protuberans,retinoid x receptor gamma
15525,prucalopride,angle-closure glaucoma,potassium voltage-gated channel subfamily b member 2
15526,fenfluramine,peptic ulcer disease,eph receptor a1
15527,diethylpropion,myeloid neoplasm associated with pdgfra rearrangement,misshapen like kinase 1
15528,dosulepin,thyroid tumor,transient receptor potential cation channel subfamily m member 8
15529,mitomycin c,lung neoplasm,gamma-aminobutyric acid type a receptor subunit theta
15530,sulindac,sympathetic ophthalmia,mitogen-activated protein kinase kinase kinase 19
15531,ketoprofen,vascular disorder,holocarboxylase synthetase
15532,triamcinolone,west syndrome,proteasome 20s subunit beta 9
15533,bupropion,myalgia,mitogen-activated protein kinase kinase kinase 11
15534,bazedoxifene,shock,prune exopolyphosphatase 1
15535,vorinostat,thyroid gland carcinoma,glutamate ionotropic receptor kainate type subunit 1
15536,levorphanol,attrv122i amyloidosis,potassium inwardly rectifying channel subfamily j member 12
15537,defibrotide,hypoparathyroidism,potassium voltage-gated channel modifier subfamily s member 3
15538,trimetazidine,juvenile idiopathic arthritis,dual specificity tyrosine phosphorylation regulated kinase 2
15539,duloxetine,human african trypanosomiasis,gamma-aminobutyric acid type a receptor subunit gamma2
15540,mesalazine,nausea,coagulation factor x
15541,voglibose,fabry disease,fxyd domain containing ion transport regulator 2
15542,secobarbital,tendinitis,glucose-6-phosphate dehydrogenase
15543,oxycodone,intermittent vascular claudication,interleukin 1 receptor associated kinase 1
15544,dexfenfluramine,potassium deficiency disease,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
15545,ospemifene,eunuchism,potassium voltage-gated channel subfamily q member 3
15546,propafenone,delayed puberty,potassium calcium-activated channel subfamily m alpha 1
15547,chlorpropamide,non-small cell lung carcinoma,protein kinase n2
15548,phenazone,urge incontinence,nuclear factor kappa b subunit 1
15549,eflornithine,relapsing-remitting multiple sclerosis,cytidine deaminase
15550,blonanserin,keratitis,septin 9
15551,nifedipine,gastroesophageal reflux disease,dipeptidyl peptidase 8
15552,milnacipran,myalgia,somatostatin receptor 1
15553,chlorcyclizine,small cell lung carcinoma,potassium voltage-gated channel subfamily d member 3
15554,fesoterodine,peptic esophagitis,dipeptidyl peptidase 4
15555,ixabepilone,hypothyroidism,ryanodine receptor 1
15556,lornoxicam,dermatofibrosarcoma protuberans,glutamate ionotropic receptor ampa type subunit 4
15557,desipramine,bacterial meningitis,platelet derived growth factor receptor beta
15558,dehydroepiandrosterone,osteoarthritis,c-x-c motif chemokine receptor 4
15559,roxatidine acetate,peptic ulcer disease,opioid receptor mu 1
15560,rotigotine,skin basal cell carcinoma,"dna polymerase delta 1, catalytic subunit"
15561,iloperidone,influenza,opioid receptor mu 1
15562,ciprofloxacin,ascariasis,dopamine receptor d4
15563,zidovudine,shock,"kras proto-oncogene, gtpase"
15564,midostaurin,sarcoidosis,bcl2 apoptosis regulator
15565,hydralazine,malignant colon neoplasm,homeodomain interacting protein kinase 1
15566,bosentan,erythema multiforme,calcium voltage-gated channel subunit alpha1 s
15567,brexpiprazole,aspiration pneumonitis,growth hormone receptor
15568,alogliptin,bacterial conjunctivitis,tubulin beta 1 class vi
15569,dicumarol,type 1 diabetes mellitus,bcl2 apoptosis regulator
15570,lorcaserin,constipation disorder,doublecortin like kinase 1
15571,raloxifene,postpartum depression,atpase na+/k+ transporting subunit alpha 1
15572,clidinium,vitamin d deficiency,adenosine deaminase
15573,anagrelide,chronic myelomonocytic leukemia,5-hydroxytryptamine receptor 1f
15574,eprosartan,influenza,potassium voltage-gated channel modifier subfamily g member 2
15575,digoxin,humoral hypercalcemia of malignancy,leukocyte receptor tyrosine kinase
15576,prasugrel,urethritis,dopamine receptor d5
15577,ethinylestradiol,homocystinuria,transmembrane protein 97
15578,canagliflozin,urge incontinence,5-methyltetrahydrofolate-homocysteine methyltransferase
15579,methyltestosterone,hairy cell leukemia,gamma-aminobutyric acid type a receptor subunit alpha6
15580,cefalotin,pancreatic adenocarcinoma,structural maintenance of chromosomes 1a
15581,clemastine,acute myeloid leukemia,nuak family kinase 2
15582,vasopressin,bronchiectasis,casein kinase 1 delta
15583,metformin,hypotensive disorder,sodium channel epithelial 1 subunit gamma
15584,romidepsin,congenital adrenal hyperplasia,n-acylsphingosine amidohydrolase 1
15585,benazepril,plasmodium malariae malaria,dipeptidyl peptidase 8
15586,codeine,pyelonephritis,dihydrofolate reductase
15587,molindone,enterocolitis,cdc like kinase 1
15588,tranilast,interstitial lung disease,cytochrome p450 family 2 subfamily d member 6
15589,betamethasone,hot flashes,4-aminobutyrate aminotransferase
15590,oxaprozin,proctitis,g protein-coupled receptor 35
15591,methyl salicylate,parkinson disease,txk tyrosine kinase
